year_played,pitchername,pitcher_mlb_id,pitchtype,p_hand,b_hand,num_pitches,subset_IP,pitch_runs
2020,A.J. Cole,595918,CH,R,L,29,1.823899371,1.1273606
2020,A.J. Cole,595918,FF,R,L,61,3.836477987,2.2579992
2020,A.J. Cole,595918,FF,R,R,81,5.094339623,2.219654
2020,A.J. Cole,595918,SL,R,L,57,3.58490566,1.0956738
2020,A.J. Cole,595918,SL,R,R,143,8.993710692,3.353296
2020,A.J. Minter,621345,CH,L,R,65,3.765597148,2.173239
2020,A.J. Minter,621345,FC,L,L,50,2.896613191,0.84067523
2020,A.J. Minter,621345,FC,L,R,95,5.503565062,2.2537599
2020,A.J. Minter,621345,FF,L,L,56,3.244206774,1.6830349
2020,A.J. Minter,621345,FF,L,R,108,6.256684492,2.9576144
2020,Aaron Bummer,607481,SI,L,L,47,3.374358974,1.138637
2020,Aaron Bummer,607481,SI,L,R,83,5.958974359,3.480271
2020,Aaron Civale,650644,CH,R,L,102,6.396610169,3.389266
2020,Aaron Civale,650644,CU,R,L,147,9.218644068,4.441779
2020,Aaron Civale,650644,CU,R,R,107,6.710169492,2.274243
2020,Aaron Civale,650644,FC,R,L,208,13.0440678,4.200684
2020,Aaron Civale,650644,FC,R,R,136,8.528813559,3.2371132
2020,Aaron Civale,650644,FF,R,L,31,1.944067797,1.0098906
2020,Aaron Civale,650644,FF,R,R,82,5.142372881,2.7744715
2020,Aaron Civale,650644,SI,R,L,132,8.277966102,5.141799
2020,Aaron Civale,650644,SI,R,R,131,8.215254237,4.981067
2020,Aaron Civale,650644,SL,R,R,104,6.522033898,2.7409172
2020,Aaron Fletcher,667465,SI,L,L,26,1.426160338,1.1614083
2020,Aaron Fletcher,667465,SI,L,R,53,2.907172996,2.435363
2020,Aaron Loup,571901,CH,L,R,28,2.077151335,0.95457983
2020,Aaron Loup,571901,CU,L,L,33,2.448071217,1.3252658
2020,Aaron Loup,571901,FC,L,L,21,1.557863501,0.65836406
2020,Aaron Loup,571901,FC,L,R,85,6.305637982,2.2115145
2020,Aaron Loup,571901,SI,L,L,92,6.824925816,1.8871592
2020,Aaron Loup,571901,SI,L,R,78,5.786350148,2.6813006
2020,Aaron Nola,605400,CH,R,L,150,9.320557491,4.7456756
2020,Aaron Nola,605400,CH,R,R,164,10.19047619,2.9315417
2020,Aaron Nola,605400,CU,R,L,150,9.320557491,1.2966692
2020,Aaron Nola,605400,CU,R,R,156,9.693379791,2.5551
2020,Aaron Nola,605400,FF,R,L,206,12.80023229,7.512736
2020,Aaron Nola,605400,FF,R,R,211,13.11091754,5.1341653
2020,Aaron Nola,605400,SI,R,L,59,3.666085947,2.630666
2020,Aaron Nola,605400,SI,R,R,52,3.231126597,1.5213041
2020,Aaron Slegers,642083,CH,R,L,21,1.564469914,0.6607844
2020,Aaron Slegers,642083,FF,R,L,78,5.810888252,2.75619
2020,Aaron Slegers,642083,SI,R,R,134,9.982808023,3.4396002
2020,Aaron Slegers,642083,SL,R,L,30,2.23495702,0.89704263
2020,Aaron Slegers,642083,SL,R,R,86,6.406876791,2.452446
2020,Adam Cimber,643256,FF,R,L,34,2.438818565,0.8143383
2020,Adam Cimber,643256,SI,R,R,37,2.654008439,0.85603327
2020,Adam Cimber,643256,SL,R,L,32,2.29535865,0.9109147
2020,Adam Cimber,643256,SL,R,R,55,3.945147679,1.4167311
2020,Adam Kolarek,592473,SI,L,L,118,11.15422886,2.7539456
2020,Adam Kolarek,592473,SI,L,R,83,7.845771144,2.968425
2020,Adam Morgan,605388,CH,L,R,33,2.938356164,1.0199953
2020,Adam Morgan,605388,FF,L,L,30,2.671232877,1.1404332
2020,Adam Morgan,605388,SL,L,L,83,7.390410959,1.3450286
2020,Adam Ottavino,493603,SI,R,L,63,3.862876254,3.1030278
2020,Adam Ottavino,493603,SI,R,R,96,5.886287625,3.1195235
2020,Adam Ottavino,493603,SL,R,L,33,2.023411371,0.514355
2020,Adam Ottavino,493603,SL,R,R,107,6.560758082,1.2981582
2020,Adam Plutko,592644,CU,R,L,28,1.818466354,1.2248794
2020,Adam Plutko,592644,CU,R,R,31,2.013302034,1.2647098
2020,Adam Plutko,592644,FF,R,L,111,7.208920188,3.8535807
2020,Adam Plutko,592644,FF,R,R,113,7.338810642,4.433903
2020,Adam Plutko,592644,SL,R,L,41,2.662754304,1.4136951
2020,Adam Plutko,592644,SL,R,R,102,6.624413146,3.421958
2020,Adam Wainwright,425794,CH,R,L,22,1.556752874,0.93563396
2020,Adam Wainwright,425794,CU,R,L,173,12.24173851,3.3811831
2020,Adam Wainwright,425794,CU,R,R,181,12.80783046,3.8786907
2020,Adam Wainwright,425794,FC,R,L,118,8.349856322,2.5637715
2020,Adam Wainwright,425794,FC,R,R,94,6.65158046,2.883327
2020,Adam Wainwright,425794,FF,R,L,80,5.66091954,3.5391128
2020,Adam Wainwright,425794,FF,R,R,39,2.759698276,1.4738475
2020,Adam Wainwright,425794,SI,R,L,79,5.590158046,3.5957973
2020,Adam Wainwright,425794,SI,R,R,142,10.04813218,6.4966555
2020,Adbert Alzolay,640470,CH,R,L,28,1.696969697,0.89202946
2020,Adbert Alzolay,640470,CU,R,L,57,3.454545455,1.6965283
2020,Adbert Alzolay,640470,CU,R,R,65,3.939393939,2.0065026
2020,Adbert Alzolay,640470,FF,R,L,70,4.242424242,2.7249749
2020,Adbert Alzolay,640470,FF,R,R,71,4.303030303,2.7094457
2020,Adbert Alzolay,640470,SI,R,L,27,1.636363636,0.976188
2020,Adbert Alzolay,640470,SI,R,R,34,2.060606061,1.3906002
2020,Adonis Medina,658431,FF,R,R,22,4,0.5752348
2020,Adrian Houser,605288,CH,R,L,101,6.174672489,3.6916327
2020,Adrian Houser,605288,CU,R,L,86,5.257641921,3.1676698
2020,Adrian Houser,605288,CU,R,R,25,1.528384279,0.7416152
2020,Adrian Houser,605288,FF,R,L,151,9.231441048,5.930267
2020,Adrian Houser,605288,FF,R,R,36,2.200873362,1.5771827
2020,Adrian Houser,605288,SI,R,L,181,11.06550218,5.724221
2020,Adrian Houser,605288,SI,R,R,223,13.63318777,5.9575186
2020,Adrian Houser,605288,SL,R,L,35,2.139737991,1.1059388
2020,Adrian Houser,605288,SL,R,R,78,4.768558952,1.9609878
2020,Adrian Morejon,670970,CH,L,R,50,3.661616162,0.7523197
2020,Adrian Morejon,670970,CU,L,L,35,2.563131313,0.41118675
2020,Adrian Morejon,670970,CU,L,R,22,1.611111111,0.51964974
2020,Adrian Morejon,670970,SI,L,L,56,4.101010101,0.9552622
2020,Adrian Morejon,670970,SI,L,R,101,7.396464646,3.7356715
2020,Alec Mills,621219,CH,R,L,95,6.266313933,3.4765608
2020,Alec Mills,621219,CH,R,R,56,3.69382716,1.388213
2020,Alec Mills,621219,CU,R,L,112,7.387654321,3.1650584
2020,Alec Mills,621219,CU,R,R,30,1.978835979,0.8939522
2020,Alec Mills,621219,FF,R,L,159,10.48783069,6.2931747
2020,Alec Mills,621219,FF,R,R,84,5.540740741,3.811161
2020,Alec Mills,621219,SI,R,L,154,10.15802469,4.9944773
2020,Alec Mills,621219,SI,R,R,160,10.55379189,4.2788444
2020,Alec Mills,621219,SL,R,L,40,2.638447972,1.326998
2020,Alec Mills,621219,SL,R,R,55,3.627865961,1.8669033
