Pitcher,# Pitches,PLA,FF,SI,SL,CH,CU,FC,FS
Reyes Moronta,48,0.956740797,,,2.087434465,,,,
John Schreiber,56,1.086396774,2.534925805,,,,,,
Eduard Bazardo,52,1.408902327,,,2.526307621,,,,
Bryan Mitchell,67,1.624622107,5.183318149,,,,,,
Oliver Pérez,56,1.768526511,,3.537053022,,,,,
Tanner Anderson,64,1.804589081,,3.208158366,,,,,
Matt Bush,69,1.818564773,3.485582481,,,,,,
Tyler Ivey,79,1.821813175,3.59808102,,,,,,
Jacob deGrom,1226,1.885928776,2.390094453,,0.712508343,3.101891706,,,
Emmanuel Clase,1057,1.967976401,5.363902923,,0.756034305,,,2.384180076,
Adrian Morejon,80,2.136843681,3.342967198,3.52387837,,,,,
Kirby Snead,111,2.183563067,,3.998994787,2.631258848,,,,
Pedro Báez,59,2.326537206,,,,3.431642378,,,
Angel Zerpa,68,2.345508194,4.430404366,,,,,,
Liam Hendriks,1131,2.362174021,2.354317279,,2.400500838,,3.008871561,,
Kutter Crawford,57,2.384938478,5.228518972,,,,,,
Rony García,56,2.396221941,3.946718491,,,,,,
Seth Martinez,63,2.424283822,5.656662252,,,,,,
Andrew Vasquez,27,2.535983562,,,,,2.852981508,,
Stephen Nogosek,48,2.553780556,4.086048889,,,,,,
Collin McHugh,972,2.567060232,5.490027995,,1.810420574,,1.931463832,2.831328979,
Hunter Wood,66,2.593218231,4.103681374,,,,4.049035263,,
Gabe Speier,105,2.611953735,1.890976073,2.695326001,3.199009206,,,,
Daniel Zamora,65,2.614939543,,,3.332766084,,,,
Nivaldo Rodriguez,114,2.616123026,5.847804411,,,,,,
Roansy Contreras,46,2.647092183,4.198835877,,,,,,
Shane Baz,198,2.654353523,2.284117413,,2.937061603,,4.2032622,,
Brusdar Graterol,522,2.694833679,,2.998943555,1.485329499,,,6.350006077,
Ryan Thompson,483,2.738107793,2.468920898,3.040713835,2.495274713,,,3.6812675,
Raisel Iglesias,1059,2.762056187,3.418113004,3.716642548,2.288225057,2.068544843,,,
Dauri Moreta,57,2.817942706,3.735412424,,,,,,
Julio Urías,2786,2.828653716,3.477544919,,,3.08430818,1.833085098,,
Andrew Kittredge,982,2.8400842,2.566410074,3.557400029,2.236739381,,,,
Michael Kopech,1154,2.892978595,3.169809985,,2.192799978,4.737972368,3.253650973,,
Zack Wheeler,3205,2.897453499,3.022032168,2.156872524,2.858145313,4.651036663,3.150592118,,
Josh James,69,2.908321381,5.016854382,,,,,,
Brody Koerner,52,2.914525986,,6.589363098,,,,,
Blake Treinen,1095,2.915271531,5.190467218,2.889599393,2.236440629,,,3.179855917,
Devin Smeltzer,52,2.92145225,2.965444954,,,3.447737421,,,
Richard Bleier,685,2.954166281,,2.51897992,3.285770085,,,4.009786547,
Garrett Whitlock,1150,2.955276073,3.8334527,2.832904859,3.388308742,2.536859836,,,
Gerrit Cole,2969,2.955556533,2.623876628,2.976294905,3.269104714,3.046600282,3.434538202,,
Taylor Rogers,642,2.960513911,,4.179591812,1.95225212,,,,
Daniel Camarena,174,2.960705485,4.526886332,4.953030891,2.61704608,,,,
Tyler Rogers,1129,2.977859497,2.885151174,6.682857527,2.832483764,,2.57940115,,
Matt Wisler,787,2.982184528,6.526123457,,3.481745649,,,,
Jonathan Loáisiga,1085,2.992803178,2.844895857,3.314372562,,3.717358125,1.683846423,,
Tyler Wells,894,3.000436883,3.363390641,,2.402006252,1.76396097,5.905680673,,
Hunter Harvey,139,3.041150093,2.946965608,,,,4.336213743,,
Ryan Pressly,956,3.045656919,3.511547931,,2.758968798,,2.719877711,,
Connor Seabold,43,3.049884796,4.857223935,,,,,,
Spencer Strider,38,3.063943454,3.880995042,,,,,,
Manny Barreda,48,3.083106995,4.484519265,,,,,,
Jhon Romero,78,3.086490154,4.913188409,,,,,,
Walker Buehler,3152,3.088807916,3.171356827,4.303377198,2.086530139,3.265451618,3.79282975,2.520775791,
Ryan Castellani,65,3.100019646,,,7.196474177,,,,
Edwin Díaz,999,3.10119986,3.796769217,,1.999728975,,,,
Colin Rea,91,3.10583051,4.849915612,,,,,4.528210004,
Nathan Eovaldi,2927,3.132631291,3.284465221,,2.440808913,,3.548434307,2.56281564,3.31985407
Devin Williams,993,3.138436777,5.690848033,,,1.988382291,,,
David Paulino,32,3.143209457,4.789652507,,,,,,
Tyler Glasnow,1339,3.14579114,3.15248163,,3.989656419,3.484987199,1.148845835,,
Shea Spitzbarth,82,3.152321243,4.601076355,,,4.302073261,,,
Adam Conley,296,3.167605901,3.5436538,,3.527204266,2.534661184,,,
Jorge Alcala,869,3.173597538,4.050253236,3.655431095,2.507453892,2.611343386,,,
Camilo Doval,452,3.174707483,4.384802338,,2.321767358,,,,
Corey Oswalt,156,3.200342855,4.198325722,,,3.370670081,,,
Dustin May,368,3.201985898,4.395097373,2.905519654,,,2.346491677,3.689005459,
Drew Rasmussen,1202,3.227570785,3.371232939,,2.579996681,5.848617034,5.012809184,,
Josh Hader,964,3.231529843,2.854854977,,3.685220384,5.131546392,,,
Jake McGee,878,3.231820218,3.155960856,,4.139182848,,,,
Justin Bruihl,255,3.233111245,,4.43205486,3.819318061,,,2.737837004,
John Means,2328,3.233666715,4.027287816,,2.884211589,1.60231147,3.803282516,,
Chad Green,1312,3.237983491,2.940792968,,,,3.842471825,,
Max Fried,2558,3.246667014,3.431152327,3.889724582,2.977075724,3.820915778,2.851831064,,
Tejay Antone,529,3.262883706,,5.038152654,2.82703918,,2.603263508,,
Zac Rosscup,48,3.272529602,,,6.545059204,,,,
A.J. Cole,114,3.284849405,4.0659049,,4.074792472,,,3.056866646,
Luis García,501,3.295887909,,3.44634232,3.194241169,,,,3.375688071
Shane McClanahan,1954,3.310900714,3.867001118,,2.665737702,4.92535235,2.499316206,,
Sandy Alcantara,3095,3.323632239,4.103246521,3.266580048,2.526816814,3.438392355,3.788885757,,
Corbin Burnes,2594,3.33829777,4.072767516,5.051364839,2.931409952,4.620623512,3.149550908,2.926481929,
Jake Latz,84,3.354927063,4.224743913,,,5.429968643,,,
Shohei Ohtani,2027,3.365427003,4.66554223,,1.096863743,,3.732091122,3.54342857,2.752659521
Tim Hill,961,3.367684732,2.925434318,3.432905719,4.493732992,,,,
Richard Lovelady,315,3.378436181,3.147933682,4.461679039,3.150177398,,,,
David Bednar,934,3.39948105,3.328488798,,,,3.861666601,,3.084288047
Freddy Peralta,2356,3.408338939,3.402156581,,3.032363652,5.093260814,3.020038709,,
Miguel Aguilar,104,3.410887582,4.137856022,,4.462966201,,,,
Dietrich Enns,360,3.41173246,4.242522996,,,,0.673453028,2.505548083,
Antonio Santos,176,3.417440078,4.285167648,,,,4.461869632,,
Brandon Woodruff,2810,3.440379203,3.33290121,3.846657048,2.878236959,3.574351685,3.168196015,,
Ryne Harper,567,3.443417487,4.668334624,,4.084220551,,2.675795556,,
Alex Vesia,651,3.455723572,3.571492218,,2.555519833,4.184455661,,,
Luis Severino,98,3.456534704,4.825228472,,3.150767279,1.405169502,,,
Craig Kimbrel,1008,3.464891487,3.54825696,,,,3.533367647,,
Robert Gsellman,427,3.47302876,,3.419622272,4.665649027,3.242475196,,,
Corey Knebel,399,3.482318829,3.542698789,,,,3.419651451,,
Dakota Hudson,131,3.485844612,,4.325602377,3.257568846,,4.267131012,,
Paul Sewald,1104,3.486595232,3.231158789,,3.86099318,,,,
Austin Pruitt,110,3.493179495,5.313177109,,2.756204775,,2.6641401,,
Aaron Nola,2971,3.502332624,4.197041485,4.454490402,,3.037374242,2.302934298,5.101979489,
Phil Bickford,776,3.506816616,3.653660644,,3.400985768,,,,
Stephen Ridings,74,3.507126617,4.701205957,4.749257708,,,,,
Anthony Gose,115,3.510957527,2.867792751,,5.428850269,,,,
Clayton Kershaw,1806,3.512502425,4.016355227,,2.979601063,,4.060677441,,
Erik Swanson,564,3.51412021,3.727232472,,3.558301647,,,,3.251628643
Jimmie Sherfy,230,3.52433726,4.690655521,,3.00909422,,,,
Tommy Hunter,109,3.53387332,,5.102957913,,,,3.714520859,
Yimi García,943,3.535925364,3.534610609,4.014711547,3.3160393,4.836979639,3.307825995,,
Luke Jackson,1055,3.547590326,5.476987776,,2.161106308,,3.981695766,,
Kevin Gausman,3002,3.552534421,4.054570537,,3.937928906,5.127154472,,,2.438758944
Jordan Romano,1031,3.554229494,3.482985885,,3.731931007,,,,
Caleb Thielbar,1106,3.571198463,3.801669176,,3.007339607,,4.077647627,,
Kervin Castro,201,3.575541687,3.248415967,,,,4.601370023,,
Jake Reed,160,3.576632309,,6.395385079,3.612843951,4.216983795,,,
Daniel Hudson,865,3.577987474,3.540098819,,3.428342577,6.304842444,,,
