Pitcher,# Pitches,PLA,FF,SI,SL,CH,CU,FC,FS,PLV,Quality Pitch,Average Pitch,Bad Pitch,QP-BP
Roberto Osuna,55,1.012111076941857,2.2266443692720856,,,,,,,5.554011,0.6,0.12,0.28,0.32
Jhoulys Chacín,92,1.162656307220459,,,,,5.348219013214112,,,4.9364114,0.45,0.2,0.35,0.1
Mike Foltynewicz,70,1.357593011856079,,,4.751575541496277,,,,,5.2815647,0.55,0.2,0.25,0.3
Blake Cederlind,67,1.473434329032898,,2.407807318175711,,,,,,5.7238197,0.6097560975609756,0.12195121951219512,0.2682926829268293,0.34146341463414637
Josh Sborz,44,1.7015730417691746,2.8795851476093723,,,,,,,4.974296,0.46153846153846156,0.3076923076923077,0.23076923076923078,0.23076923076923078
José Ruiz,60,1.8326201438903809,3.14163453238351,,,,,,,5.371731,0.45714285714285713,0.3142857142857143,0.22857142857142856,0.22857142857142856
Mike Morin,41,1.894209623336792,,3.2359414398670197,,,,,,4.8022194,0.2916666666666667,0.375,0.3333333333333333,-0.041666666666666664
Scott Blewett,62,1.9166879653930664,5.658793040684292,,,,,,,5.0267296,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
César Valdez,191,1.9370855287063953,,3.503340288650158,,2.216303833115094,,,,5.085199,0.5,0.20833333333333334,0.2916666666666667,0.20833333333333334
Brusdar Graterol,291,1.9377505711146765,,2.740229011478281,0.5147850671593024,,,,,5.316643,0.5368421052631579,0.18947368421052632,0.2736842105263158,0.2631578947368421
Demarcus Evans,54,1.9504213333129883,2.9256319999694824,,,,,,,5.33276,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.2222222222222222
Ariel Jurado,84,1.979164719581604,,7.228253758471944,,,,,,4.649464,0.34782608695652173,0.17391304347826086,0.4782608695652174,-0.13043478260869565
Carl Edwards Jr.,56,1.9997207777840749,3.026604420429951,,,,,,,5.1424737,0.5135135135135135,0.13513513513513514,0.35135135135135137,0.16216216216216217
Domingo Tapia,80,2.097633141737718,,3.356213026780349,,,,,,5.5199113,0.58,0.14,0.28,0.3
Mike Montgomery,97,2.156758189201355,,,,2.3699644271816527,,5.4978030015682355,,4.874129,0.3448275862068966,0.20689655172413793,0.4482758620689655,-0.10344827586206896
Justin Verlander,73,2.270632266998291,2.0517361164093018,,3.0995080235563677,,,,,5.128876,0.4074074074074074,0.2222222222222222,0.37037037037037035,0.037037037037037035
AJ Ramos,66,2.2816851139068604,,,7.171010357992991,,,,,4.941376,0.3333333333333333,0.2857142857142857,0.38095238095238093,-0.047619047619047616
Jacob deGrom,1135,2.5324758641860066,3.1868435430749176,,1.621611058914115,2.7770284648035086,2.852644356859832,,,5.5782647,0.6785714285714286,0.07142857142857142,0.25,0.42857142857142855
Brandon Waddell,49,2.544198417663574,6.233286123275756,,,,,,,4.2216015,0.4,0.1,0.5,-0.1
Devin Williams,431,2.788260565863715,4.5708725229420155,,,1.7299377415265398,,,,4.959574,0.4745762711864407,0.12994350282485875,0.3954802259887006,0.07909604519774012
Caleb Ferguson,304,2.788661139351981,3.034444640498226,,,,,2.2833688719933773,,5.4956284,0.5643153526970954,0.1825726141078838,0.25311203319502074,0.3112033195020747
Danny Coulombe,50,2.8022716641426086,,,,,6.09189492204915,,,4.7529135,0.34782608695652173,0.21739130434782608,0.43478260869565216,-0.08695652173913043
Blake Treinen,396,2.8871853320629564,5.843878882271903,2.612246067827733,2.3845822445063467,,,3.157316445205618,,5.6659007,0.5794392523364486,0.21495327102803738,0.205607476635514,0.37383177570093457
Joel Kuhnel,57,2.8941542307535806,3.845020402561534,,4.018817567825318,,,,,5.409639,0.45454545454545453,0.18181818181818182,0.36363636363636365,0.09090909090909091
Garrett Crochet,85,2.910975138346354,3.299105156792535,,,,,,,5.246124,0.48,0.21333333333333335,0.30666666666666664,0.17333333333333334
Nathan Eovaldi,748,2.932270549905711,3.2247527818686805,,,,3.618820296073782,1.993518614024475,3.392944693729795,5.319213,0.49523809523809526,0.17142857142857143,0.3333333333333333,0.1619047619047619
Mitch White,44,2.9348618189493814,5.869723637898763,,,,,,,4.3492928,0.3181818181818182,0.18181818181818182,0.5,-0.18181818181818182
Paul Blackburn,48,2.939787319728306,,6.719513873664699,,,,,,4.743577,0.38095238095238093,0.19047619047619047,0.42857142857142855,-0.047619047619047616
Burch Smith,153,2.9401022593180337,2.8240177501331676,,,2.7832590171269005,3.670237703756853,,,4.951431,0.36363636363636365,0.4090909090909091,0.22727272727272727,0.13636363636363635
Gerrit Cole,1203,2.9691279163099313,2.828125301649112,,2.481327669027967,3.5197099802623133,4.065181286955533,,,5.1721406,0.47,0.145,0.385,0.085
Adonis Medina,84,3.001312017440796,5.659106826782226,,,,4.116849732398987,,,5.0499434,0.5333333333333333,0.2,0.26666666666666666,0.26666666666666666
Richard Bleier,218,3.0092420196533203,,2.524605413164411,3.1237618867406303,,,4.945228249686105,,4.4679174,0.23809523809523808,0.3333333333333333,0.42857142857142855,-0.19047619047619047
Ryan Thompson,419,3.0290816101846816,2.844318651567176,3.605232428656104,2.6297135010568473,,1.9474748153943242,,,5.2798696,0.509009009009009,0.22072072072072071,0.2702702702702703,0.23873873873873874
Sean Doolittle,127,3.035185109014096,3.706427969661445,,,,,,,5.2950597,0.5,0.16346153846153846,0.33653846153846156,0.16346153846153846
Caleb Baragar,349,3.0369230811275654,2.9769096776539175,,3.99908271374733,,,,,5.122677,0.5285714285714286,0.12857142857142856,0.34285714285714286,0.18571428571428572
Raisel Iglesias,361,3.1112587970236074,3.987013517635704,2.395752840160583,2.5549936253091565,2.6390444876584542,,,,5.132809,0.45323741007194246,0.22302158273381295,0.3237410071942446,0.12949640287769784
Nick Neidert,132,3.1657035827636717,4.692686004638672,,,4.700403363458041,,,,4.9064436,0.4166666666666667,0.23333333333333334,0.35,0.06666666666666667
Luke Bard,79,3.1823458671569824,3.2318235362569494,,3.5542018193947644,,,,,5.2082415,0.39473684210526316,0.23684210526315788,0.3684210526315789,0.02631578947368421
Liam Hendriks,370,3.1904902207223995,3.139259385123891,,3.529975380609828,,2.636054640839457,,,5.526923,0.38461538461538464,0.34615384615384615,0.2692307692307692,0.11538461538461539
Diego Castillo,320,3.192078693096454,,3.8090594607335038,2.928877508361204,,,,,5.111988,0.44954128440366975,0.25688073394495414,0.29357798165137616,0.1559633027522936
Ryan Sherriff,126,3.1927812510523306,,3.5919507001601376,1.7175400010470687,,,,,5.7880325,0.5217391304347826,0.2608695652173913,0.21739130434782608,0.30434782608695654
Adam Cimber,177,3.21728796117446,3.105352301850722,2.3463143326368936,3.7605880423926914,,,,,5.2037134,0.3793103448275862,0.3333333333333333,0.28735632183908044,0.09195402298850575
Hunter Harvey,145,3.222409981947679,4.098679363003627,,,,,,,5.1812696,0.4473684210526316,0.23684210526315788,0.3157894736842105,0.13157894736842105
Deolis Guerra,130,3.226412513039329,6.742115871965393,,,0.9349471059712496,,,,4.4558635,0.38181818181818183,0.09090909090909091,0.5272727272727272,-0.14545454545454545
Framber Valdez,1049,3.2409167019826057,7.2677115310812885,3.6355894100615407,,4.092151136916097,2.078767641000117,,,5.01677,0.42857142857142855,0.15306122448979592,0.41836734693877553,0.01020408163265306
Justin Topa,119,3.255451782889988,,3.799676032486043,2.166437928572945,,,,,5.7461977,0.5714285714285714,0.08571428571428572,0.34285714285714286,0.22857142857142856
Adam Kolarek,252,3.271513085616262,,3.3983598995283657,6.145692166256414,,,,,5.1209893,0.4925373134328358,0.20398009950248755,0.3034825870646766,0.1890547263681592
Artie Lewicki,57,3.280154514312744,,,6.677457404136658,,,,,4.4013557,0.35714285714285715,0.17857142857142858,0.4642857142857143,-0.10714285714285714
Victor González,290,3.2853499865922773,,3.759552728248665,2.979500065234691,,,,,5.081461,0.47368421052631576,0.21052631578947367,0.3157894736842105,0.15789473684210525
Nick Anderson,237,3.3097584004304847,3.074769647690778,,,,3.7457609615133647,,,5.110693,0.4819277108433735,0.1927710843373494,0.3253012048192771,0.1566265060240964
Glenn Sparkman,90,3.312332534790039,5.798134679379671,,3.505379372454704,,,,,4.7678266,0.391304347826087,0.21739130434782608,0.391304347826087,0.0
Sixto Sánchez,559,3.3324991861979165,4.530175268799439,3.7967097255716493,3.0032314685506556,2.355183961656359,2.2876376796651767,,,5.638854,0.5555555555555556,0.2777777777777778,0.16666666666666666,0.3888888888888889
Erasmo Ramírez,195,3.4087249401003814,,4.592803791714743,4.495946358465534,,,4.19797924870764,,4.723059,0.2972972972972973,0.24324324324324326,0.4594594594594595,-0.16216216216216217
Dinelson Lamet,1046,3.4097803088201992,4.435952379978103,3.910815276299734,2.6040863715963485,,,,,5.1115904,0.48936170212765956,0.13829787234042554,0.3723404255319149,0.11702127659574468
Zack Wheeler,1078,3.413520060794454,3.188381077680172,3.0303003687254138,3.687084874469772,5.002989356697545,3.600427664778833,,,5.1927238,0.4678362573099415,0.19883040935672514,0.3333333333333333,0.13450292397660818
Patrick Murphy,104,3.414133071899414,,3.5943076785674877,,,6.217637822247934,,,5.3828707,0.4915254237288136,0.2033898305084746,0.3050847457627119,0.1864406779661017
Mark Melancon,323,3.4164659836713005,,,,,3.9979976018269854,3.350674943551005,,5.234027,0.4748603351955307,0.24022346368715083,0.2849162011173184,0.18994413407821228
Kenta Maeda,986,3.418875045776367,5.036595509503338,4.364407682418823,2.3227340246129917,3.561565662870471,4.680232848167419,,,5.2036166,0.4395973154362416,0.27181208053691275,0.28859060402684567,0.15100671140939598
Joey Gerber,233,3.4347627518024852,3.818722784593795,3.220382580278855,3.419170782375361,,,,,5.262078,0.4936708860759494,0.189873417721519,0.31645569620253167,0.17721518987341772
Nabil Crismatt,114,3.4417403411865233,4.674678840637207,,,4.460246283791282,2.9979971367972236,,,4.66279,0.36666666666666664,0.16666666666666666,0.4666666666666667,-0.1
Chaz Roe,159,3.450198309762137,,4.993292742541858,3.1215989271067253,,,4.103645995259285,,5.20321,0.4583333333333333,0.20833333333333334,0.3333333333333333,0.125
Kevin Gausman,975,3.478548188449284,4.02158917003785,,3.9030057352551104,,,,2.9132087655425587,5.2141128,0.5217391304347826,0.13043478260869565,0.34782608695652173,0.17391304347826086
Yu Darvish,1153,3.4812931261564555,3.4194945537701398,4.801852719891482,2.67053027525663,,3.4350585794090325,3.269951449596738,5.380213145533197,5.55082,0.5393939393939394,0.21818181818181817,0.24242424242424243,0.296969696969697
Zac Gallen,1117,3.482814153035482,4.448961302188599,,,2.4076651804602123,2.5006452749251316,3.6090339693783795,,5.2474403,0.44015444015444016,0.23938223938223938,0.3204633204633205,0.11969111969111969
Max Fried,899,3.494449887956892,4.075311318430886,3.0505934774185244,2.4951276570003227,3.916719818493676,3.3474935830808157,,,5.133684,0.47959183673469385,0.19642857142857142,0.3239795918367347,0.1556122448979592
Luis Castillo,1153,3.4980837140764507,4.662647752576824,4.001226430835324,2.9255317781485766,2.339427908622559,,,,5.1923065,0.43727598566308246,0.23297491039426524,0.32974910394265233,0.10752688172043011
Clayton Kershaw,888,3.5042013113839285,4.384878227816169,,2.91897274432979,,2.8618795742429763,,,5.466559,0.5141242937853108,0.192090395480226,0.2937853107344633,0.22033898305084745
Josh Fleming,470,3.516231418884906,,3.460422791156572,3.0007488720673248,4.912136146436995,,,,5.3878517,0.5323741007194245,0.19424460431654678,0.2733812949640288,0.2589928057553957
Blake Snell,872,3.5195999145507812,3.7815261474055766,,2.2244514902987222,3.4248306292054282,4.046420567238978,,,5.810651,0.5891472868217055,0.16279069767441862,0.24806201550387597,0.34108527131782945
Chris Rusin,59,3.5374960899353027,,3.9356734313964843,,,,5.253354379108974,,4.903527,0.38095238095238093,0.2857142857142857,0.3333333333333333,0.047619047619047616
Brandon Bailey,97,3.545056603171609,4.752467277853246,,,,3.7590605225225895,,,4.5685844,0.47058823529411764,0.09803921568627451,0.43137254901960786,0.0392156862745098
Dylan Floro,371,3.5478220900444137,,4.345462899737443,3.787500529528753,2.112743529931763,,,,5.162843,0.4188034188034188,0.23076923076923078,0.3504273504273504,0.06837606837606838
Adrian Morejon,322,3.5521008721713363,3.4473440051078796,4.478692858030109,2.9771501442481734,2.410643034967883,2.447880566661025,,,5.38491,0.5833333333333334,0.20833333333333334,0.20833333333333334,0.375
Jacob Webb,168,3.5587535858154298,4.060257027365944,,,1.7953057583895597,5.67304605102539,,,5.198938,0.5340909090909091,0.13636363636363635,0.32954545454545453,0.20454545454545456
Aaron Loup,341,3.5637738037109377,,3.298965462179745,,3.8343291346232093,5.345329908098494,3.3236445063465045,,5.1979856,0.5352941176470588,0.17647058823529413,0.28823529411764703,0.24705882352941178
Phil Maton,379,3.5653170072115383,3.56526762690384,,,,3.6370914514944634,3.5778759025257716,,5.398006,0.5384615384615384,0.1452991452991453,0.3162393162393162,0.2222222222222222
Jake McGee,332,3.5679488885598105,3.678754754664153,,,,,,,5.286711,0.5,0.2111801242236025,0.2888198757763975,0.2111801242236025
Yacksel Ríos,62,3.5719032287597656,5.401414638612329,,,,,,,4.626548,0.3902439024390244,0.2682926829268293,0.34146341463414637,0.04878048780487805
Aaron Nola,1148,3.5740754314672167,4.392785106118522,5.417801604785231,,3.5413272598114918,1.8231849383801058,,,4.6899633,0.35135135135135137,0.2072072072072072,0.44144144144144143,-0.09009009009009009
Dustin May,866,3.575793675013951,3.1247409418790055,3.6612404241974925,,4.954829296287224,2.3210967450306335,3.9074030418471333,,5.1400313,0.4792626728110599,0.18433179723502305,0.33640552995391704,0.14285714285714285
Walker Buehler,600,3.590146012739702,3.3098447670829203,5.734583681279963,2.54651578518713,,3.918215617660649,3.6765456223464037,,5.2109194,0.4772727272727273,0.20454545454545456,0.3181818181818182,0.1590909090909091
Tanner Scott,345,3.60503178258096,4.508340788520942,,2.418168206368723,,,,,5.717888,0.5746268656716418,0.13432835820895522,0.291044776119403,0.2835820895522388
