Pitcher,Num_Pitches,PLA,FF,SI,SL,CH,CU,FC,FS
Emmanuel Clase,921,1.64648154,,,0.987989786,,,2.120414113,
Pete Fairbanks,352,1.700484912,1.596696712,,1.921849781,,,,
Jacob deGrom,940,2.001624073,2.381680462,,1.147448936,3.993337437,1.941432805,,
Andrés Muñoz,1024,2.133373319,3.38464261,,1.469117387,,,,
Edwin Díaz,928,2.401963265,2.929112396,,2.044272397,,,,
Brusdar Graterol,675,2.47769718,4.403918602,2.317843881,1.836851696,,,2.35467247,
Ryne Nelson,253,2.518980685,2.74452636,,2.148403869,,2.851823399,,
Shane McClanahan,2463,2.62069482,3.095808176,,2.791310029,2.461884831,1.94224673,,
Andrew Kittredge,233,2.678958321,3.539387199,3.014071869,2.004587323,,,,
Garrett Cleavinger,347,2.71078259,3.07092844,2.943895631,2.527647144,,,,
Evan Phillips,923,2.732841855,3.701973745,2.588019045,2.430267406,,,2.472197148,
Collin McHugh,1086,2.733444654,,,2.430256867,,2.330630372,3.142057214,
Jhoan Duran,1023,2.734515787,3.006692009,,,,2.200586077,2.843750742,3.080549575
Yency Almonte,466,2.753169726,2.748105986,3.606545833,1.894179536,4.25941534,,,
Paul Sewald,974,2.761922598,2.916792922,,2.628107051,,,,
Penn Murfee,1003,2.770515809,3.110418909,4.700982566,2.267413622,,,,
Shohei Ohtani,2629,2.792508229,4.063556723,4.289507261,1.56662631,,4.327661323,2.353441418,2.455450845
Zack Wheeler,2358,2.805519054,2.621156923,2.689138917,2.869299665,5.504122942,3.071159847,,
Luis Perdomo,285,2.838386858,,2.978539803,2.739789016,,,,2.6862012
Sandy Alcantara,3248,2.848660928,3.438461885,2.869536522,2.498713274,2.608795676,,,
Aaron Nola,3039,2.866232077,2.786962369,3.129598989,,3.529490666,2.088591268,4.146194846,
Keegan Akin,1235,2.86952988,2.703006738,,2.647508185,3.771634618,,,
Julio Urías,2622,2.897425711,3.404183594,3.961199967,,3.568499494,1.753590826,,
Ryan Helsley,962,2.908047076,3.128902644,,2.428086586,,3.73286177,1.622893812,
Garrett Whitlock,1166,2.909995091,3.763029052,3.077762144,3.505650614,1.72922124,,,
Scott Alexander,214,2.910790663,,2.515328727,3.659403483,4.143777944,,,
A.J. Minter,1111,2.920762852,2.891554971,,,3.797778058,,2.471046529,
Joe Mantiply,861,2.921937307,,2.628909317,,3.077574533,3.390488753,,
Wade Miley,566,2.925890742,4.627184127,,3.171427232,2.48672889,,2.972248123,
Adrian Morejon,540,2.929760652,2.890508062,,1.639173736,4.976746743,3.944211782,,
Cody Stashak,227,2.971775833,3.262539354,,2.765055039,,,,
Reynaldo López,985,2.990720476,2.90577415,,2.841478745,4.761520682,3.178058681,,
JT Chargois,334,3.000044752,,3.544010659,2.553318524,,,,
Jason Adam,942,3.00498601,3.363066997,,2.91646462,2.989858936,,,
Hayden Wesneski,496,3.016537059,4.193105772,3.257446027,1.768442783,4.923875944,1.40938834,2.451599059,
Kevin Gausman,2783,3.020605306,3.462164643,,3.935437146,3.747926637,,,1.951471567
Caleb Thielbar,996,3.022069867,3.461392017,,2.447742368,,2.908340936,,
Ryan Brasier,985,3.022397862,3.004714218,3.293480104,3.060664619,,,,
Jeffrey Springs,2149,3.039919924,3.708912003,3.27515363,3.151513577,2.241746843,,,
Clayton Kershaw,1842,3.03993825,3.650010304,,2.522927071,,3.034164665,,
Daniel Hudson,406,3.045488227,3.33737707,,3.05254131,,,,
Michael King,776,3.049957874,3.850060605,3.297481208,2.052217205,4.128255487,1.721000203,,
Connor Brogdon,710,3.050816969,3.250285314,,,2.64794701,,3.496281884,
Chris Paddack,367,3.061471512,3.909755094,,,0.732274313,4.84692787,,
Liam Hendriks,948,3.064289071,2.903142631,,3.356808855,,3.474238162,,
Nathan Eovaldi,1739,3.071618243,3.259785599,4.745098846,3.001664771,,2.947343195,3.750394635,2.573144895
Robert Gsellman,207,3.072479663,,3.112037254,3.340250158,3.357121811,,,
Gerrit Cole,3274,3.074657757,3.173498341,,2.291322645,3.776843173,3.50711206,3.329453163,
Yu Darvish,2971,3.075117451,3.659492895,4.087188035,2.515178265,,3.313075188,2.54300045,3.634930334
Max Fried,2818,3.078015773,3.404132792,3.321518609,2.411401582,3.088859259,3.003458261,,
Justin Verlander,2607,3.100750907,3.432053013,,2.577295996,2.989352221,3.01632647,,
Drew Rasmussen,2239,3.110218414,3.251216938,4.143024393,3.12520722,,3.471878167,2.780659526,
Keynan Middleton,241,3.115556829,3.372716873,,2.993036226,2.583437035,,,
Wandy Peralta,816,3.126655895,4.070543437,3.917753326,2.336563914,2.64053168,,,
Rafael Montero,1093,3.12907953,2.935835929,3.489984484,2.825321248,3.353905643,,,
Félix Bautista,995,3.134815584,3.26398418,,4.072952379,,,,2.534234838
Luis García,966,3.146460861,,3.46851766,2.958756837,,,,2.569655879
Anthony Bender,274,3.146647157,,3.724846479,2.845766426,,,,
Zach Pop,536,3.154989585,,3.332239244,2.559833373,,,,
Devin Williams,1068,3.161211286,4.427646585,,,2.151891748,,6.262883597,
Hunter Harvey,661,3.161296133,3.319695875,,,0.922010648,5.491484633,,2.359564989
Ross Stripling,2033,3.168095364,4.429532163,3.765398182,3.137314692,1.636991608,2.950781577,,
Chad Green,241,3.172637431,3.036227896,,,,3.565871082,,
Chris Martin,858,3.195741653,3.96957826,3.775458166,2.478726553,,1.974256963,2.18254606,3.503468798
Raisel Iglesias,979,3.198107073,4.128935637,3.623752089,2.318076638,2.66761063,,,
Jason Foley,961,3.201147933,5.871670332,2.793567446,3.344425865,3.153206799,,,
Matt Festa,897,3.20321401,3.557725194,,2.985771436,,,,
Phil Maton,1089,3.208662159,3.727398411,4.504930461,2.6331503,,2.672159269,,
Cionel Pérez,901,3.211671774,3.223932891,3.3677844,3.156272234,,,,
Kolby Allard,299,3.213439941,3.651587116,,,4.101349734,,2.625283308,
Trent Thornton,664,3.221358258,3.598780534,4.84553932,2.498882349,,3.53525245,,
Dustin May,474,3.223259735,3.190227512,3.287957212,,3.439799033,2.948813988,3.384991531,
Zack Weiss,209,3.223825264,4.270904922,,2.893793746,,,,
Hyun Jin Ryu,395,3.227334482,3.764596361,,,2.883313586,2.058171141,4.007867302,
Dylan Lee,754,3.228647533,3.09588223,,2.260591036,4.743860365,3.547997266,,
Zach Eflin,1194,3.231466285,3.764462544,3.005695794,2.360907352,4.103636523,3.034699028,3.675962576,
Tommy Milone,238,3.23226265,3.8400173,,3.574423836,2.382298129,3.583762598,,
Griffin Jax,1157,3.236436202,3.915494237,,2.643737879,4.173254467,5.055990959,,
Brooks Raley,846,3.239993552,,4.179866981,2.029667733,4.687656703,,3.425157162,
Hunter Greene,2200,3.241974848,3.585221593,,2.48671831,5.646920761,,,
Ryan Pressly,711,3.252044993,4.482825503,,2.952559921,2.110854068,2.305379266,,
Anthony Bass,986,3.25255733,4.407003647,3.637107431,2.846110335,,,,4.517540958
Phil Bickford,990,3.260211882,3.219474128,,3.347102294,,,,
Scott Effross,815,3.279423523,4.220997083,3.674253337,2.656287952,3.353294478,,,
Carlos Rodón,2985,3.29111815,3.308256385,,2.899143325,4.024642075,4.991629345,,
Dillon Tate,1077,3.29196167,,3.346529512,2.365105983,4.312005383,,,
Tyler Anderson,2576,3.302189955,3.469911934,4.515719159,,2.930070893,4.91241112,3.086577692,
Craig Kimbrel,1077,3.303781128,3.00046724,,,,3.972944118,,
Justin Bruihl,341,3.30391865,,3.83437658,3.831085055,,,3.082805057,
Adam Ottavino,1057,3.30608914,4.856288892,3.901998942,1.987385734,5.374880408,,4.012774699,
Tyler Rogers,1166,3.30914878,3.387391496,3.224311499,3.232919521,,,,
Logan Webb,3006,3.310284752,4.715175588,3.144444389,3.365192382,3.294970863,,,
Matt Bush,909,3.312056728,3.307793571,,,,3.042942776,4.364031334,
Zac Gallen,2935,3.31623973,3.879883229,,2.255903525,2.6865947,2.568259632,3.315603816,
Stephen Nogosek,377,3.323502974,3.98027678,,2.50233043,6.01649204,,2.321628467,
Matt Wisler,749,3.325249065,6.367474267,,3.908242273,,,,
Ryan Thompson,679,3.325303316,5.280386793,3.545123563,2.708209441,,,,
Max Scherzer,2167,3.343455043,3.672847692,,2.597177766,2.957517643,3.424570541,4.086165447,
Alex Vesia,951,3.349272839,3.308770857,,3.12470535,5.522944368,,,
Nestor Cortes,2465,3.350883661,2.97390565,4.534281741,2.931977012,4.876768517,,3.846513002,
Gabe Speier,298,3.354752245,4.102828702,3.81890389,3.012191546,,,,
J.P. Feyereisen,344,3.357312137,3.808602865,,2.955088474,3.040552335,,,
Spencer Strider,2277,3.357457105,3.203070044,,3.414461107,5.218164897,,,
Brandon Woodruff,2538,3.360199903,3.470590913,4.077727325,3.251953538,2.703253819,2.753679584,,
Austin Pruitt,809,3.36145378,4.3234624,,2.673320176,3.586300757,3.571804122,,
Framber Valdez,3018,3.367839485,5.882839086,3.976906865,,3.465266519,2.074304926,3.119992534,
Walker Buehler,1046,3.373157208,4.269279606,4.388651297,2.046167504,3.3854053,3.294433815,2.582814389,
Scott Barlow,1198,3.373552399,3.802891739,,3.630894676,,2.797521595,,
John King,749,3.374509539,,3.289199048,3.6296659,3.511944046,,3.038117478,
Eduard Bazardo,236,3.379978881,3.708027985,3.725515743,3.01484764,3.501002333,,,
Tyler Wells,1649,3.385539751,4.034249816,3.371068844,3.232519696,1.749969044,4.089439222,,
Logan Gillaspie,262,3.387683575,3.067324216,,3.715203066,3.641916099,,,
John Schreiber,1020,3.389789757,3.082003359,3.416317711,3.531640517,4.010884327,3.291217064,,
Casey Lawrence,297,3.40164121,4.291443858,4.591956139,2.731096867,3.402313693,,,
Andrew Heaney,1230,3.402523146,2.76886343,4.598948603,3.81860478,4.595336157,5.133777166,,
Trevor Stephan,1032,3.408800215,3.623383585,,2.490960284,,,,3.859586539
