pitcher_mlb_id,pitchername,year_played,num_pitches,pitcher_height,x0,z0,arm_angle,pitch_extension_cleaned,arm_slot
66397,Blair Calvo,2023,11.0,75.0,-1.01,5.41,50.51613119531294,5.86,Three-Quarters
425794,Adam Wainwright,2023,1502.0,79.0,-1.02,6.15,33.02767915844194,6.46,Three-Quarters
425844,Zack Greinke,2023,1899.0,74.0,-1.24,6.07,35.34445728824564,5.98,Three-Quarters
434378,Justin Verlander,2023,2231.0,77.0,-1.33,6.78,30.00452193904072,6.0,Three-Quarters
445276,Kenley Jansen,2023,717.0,77.0,-2.28,6.03,56.12068947395749,6.84,Three-Quarters
445926,Jesse Chavez,2023,492.0,73.0,-1.53,4.93,66.05342946718109,6.32,Sidearm
446372,Corey Kluber,2023,990.0,76.0,-1.71,5.01,71.46928550084989,6.45,Sidearm
448179,Rich Hill,2023,2412.0,77.0,1.46,5.78,47.43235204043743,6.19,Three-Quarters
450203,Charlie Morton,2023,2636.0,77.0,-2.22,5.33,69.52908328105175,6.15,Sidearm
453178,Ian Kennedy,2023,221.0,72.0,-1.16,5.24,48.17983011986422,6.58,Three-Quarters
453268,Daniel Bard,2023,878.0,76.0,-1.43,5.89,44.11665489221105,6.02,Three-Quarters
453286,Max Scherzer,2023,2396.0,75.0,-2.83,5.36,70.85304222003363,6.29,Sidearm
455117,Martín Maldonado,2023,30.0,72.0,-1.3900000000000001,7.32,24.22745513869064,5.02,Overhand
455119,Chris Martin,2023,650.0,80.0,-2.71,5.92,65.28535937789371,6.52,Sidearm
456501,Johnny Cueto,2023,594.0,71.0,-2.04,5.48,56.08478180477029,5.81,Three-Quarters
456713,Matt Bush,2023,194.0,70.0,-0.845,5.34,33.79686188558746,6.535,Three-Quarters
458681,Lance Lynn,2023,2785.0,77.0,-3.01,5.5,71.24891857284683,6.56,Sidearm
471911,Carlos Carrasco,2023,1593.0,76.0,-1.32,5.69,46.09643608399303,6.53,Three-Quarters
472551,Fernando Abad,2023,143.0,74.0,0.08,6.12,4.058103802731597,5.87,Overhand
472610,Luis García,2023,892.0,74.0,-2.32,6.01,53.735074902921994,6.73,Three-Quarters
476595,Lucas Luetge,2023,268.0,76.0,0.88,6.18,26.95701904549272,6.5,Overhand
477132,Clayton Kershaw,2023,1816.0,76.0,1.38,6.01,41.19449981088854,6.44,Three-Quarters
488984,Tommy Hunter,2023,368.0,75.0,-1.62,6.01,44.729313291792124,6.41,Three-Quarters
489119,Wade Miley,2023,1519.0,74.0,1.62,6.07,41.739129227654296,6.24,Three-Quarters
489446,Kirby Yates,2023,931.0,70.0,-2.34,5.24,63.765439952848276,6.14,Sidearm
493603,Adam Ottavino,2023,922.0,77.0,-2.61,5.29,73.02630349946007,6.96,Sidearm
500743,Miguel Rojas,2023,25.0,72.0,-1.33,6.9,24.31591973205319,4.29,Overhand
500779,José Quintana,2023,848.0,73.0,2.02,5.69,54.30935176577114,6.51,Three-Quarters
500871,Eduardo Escobar,2023,29.0,70.0,-1.66,7.02,31.788576731933365,4.48,Three-Quarters
502043,Kyle Gibson,2023,2677.0,78.0,-1.99,6.13,51.718944386684065,6.87,Three-Quarters
502085,David Robertson,2023,909.0,71.0,-2.58,5.64,59.71616715962648,6.68,Three-Quarters
502171,Alex Cobb,2023,2383.0,75.0,-1.84,5.66,54.71485576893252,5.92,Three-Quarters
502179,Paolo Espino,2023,101.0,70.0,-1.86,5.49,52.02659827304462,6.61,Three-Quarters
502202,Brad Boxberger,2023,253.0,70.0,-1.45,5.46,46.279011726932005,5.77,Three-Quarters
502624,Chase Anderson,2023,1086.0,73.0,-1.57,5.74,45.50100656815191,5.91,Three-Quarters
506433,Yu Darvish,2023,2220.0,77.0,-1.93,5.42,64.54304622755448,6.57,Sidearm
506702,Sandy León,2023,18.0,70.0,-1.43,5.949999999999999,36.46965290066395,4.105,Three-Quarters
517008,Alex Colomé,2023,64.0,74.0,-1.0950000000000002,6.220000000000001,29.83735747511671,6.22,Overhand
518397,Scott Alexander,2023,619.0,74.0,1.59,5.62,50.61970935770945,6.21,Three-Quarters
518489,Ryan Brasier,2023,760.0,72.0,-1.37,5.6,44.2205136788815,6.87,Three-Quarters
518516,Madison Bumgarner,2023,350.0,76.0,2.6,5.56,66.02728937156566,6.64,Sidearm
518585,Fernando Cruz,2023,937.0,74.0,-1.28,5.82,40.3118161861896,6.76,Three-Quarters
518617,Jake Diekman,2023,865.0,76.0,3.65,5.36,75.79009590058389,6.45,Sidearm
518626,Josh Donaldson,2023,11.0,73.0,-1.8,5.38,58.86102756302113,5.91,Three-Quarters
518876,Merrill Kelly,2023,2318.0,74.0,-1.56,5.39,54.98725242180551,6.21,Three-Quarters
518886,Craig Kimbrel,2023,971.0,72.0,-2.66,4.75,78.3032301814202,6.81,Sidearm
519008,T.J. McFarland,2023,51.0,75.0,1.9,5.245,64.66810311498179,5.65,Sidearm
519043,Matt Moore,2023,732.0,75.0,1.0,6.15,29.042626612813894,6.28,Overhand
519151,Ryan Pressly,2023,882.0,74.0,-0.24,5.86,8.872750284601436,6.21,Overhand
519242,Chris Sale,2023,1352.0,78.0,2.93,5.25,76.54522019253145,6.39,Sidearm
519293,Will Smith,2023,771.0,77.0,1.22,6.37,32.6209146646932,6.19,Three-Quarters
521230,Liam Hendriks,2023,87.0,72.0,-1.56,5.86,43.76612783299993,7.15,Three-Quarters
523260,Joe Kelly,2023,606.0,73.0,-1.6,5.28,57.110597767654404,6.155,Three-Quarters
527048,Martín Pérez,2023,1998.0,72.0,1.03,5.48,38.556490932202635,5.92,Three-Quarters
527054,Julio Teheran,2023,944.0,74.0,-2.56,4.92,76.83789955830262,6.37,Sidearm
541640,Erasmo Ramírez,2023,771.0,72.0,-1.99,5.25,62.36908075039641,6.45,Sidearm
